Problem;f_alg;it_alg;f_cplex;it_cplex;;;
App2-1;35109,6;1;19294,3;24;;;
sp98ir;268448539,2;8202;219676790,4;135277;;;
haprp;3673280,7;646;3673280,7;659;;;
enlight_hard;37;2284;37;2284;;;
App2-2;213270,5;2;212042,5;1;;;
mod010;6548;692;6548;907;;;
RococoC10-001000;11460;940551;11460;1156239;;;
f2gap201600;76605;1322347;76453;211;;;
f2gap401600;82307;742;82307;421;;;
f2gap801600;86679;1474;86679;0;;;
Eil33-2;934;84096;934;109587;;;
gt2;21166;124;21166;192;;;
p0201;7815;1324;7615;545;;;
supportcase14;288;150;288;157;;;
supportcase16;288;223;288;223;;;
Neos-1516309;36724;173;35954;251;;;
Neos-1599274;32863,6;220;32075,6;186;;;
Neos-831188;2,6;3650003;2,6;1184819;;;
neos-3592146-hawea;79435711,5;1205;15465800,7;9531675;;;
Neos-555424;4808400;7760;1331800;25076;;;
neos-3381206-awhea;453;76493;453;60701;;;
Neos-555001;4725000;7946;1210625;761;;;
neos-2624317-amur;3,5;107034;3,5;123595;;;
manna81;-13164;3153;-13164;3153;;;
mzzv11;-18980;4639;-21718;15466;;;
enlight8;27;1996;27;2024;;;
f2gap40400;20772;312;20772;313;;;
pw-myciel4;10;498133;10;378876;;;
acc-tight5;0;585867;0;0;;;
opm2-z6-s1;-5107;3179;-6202;64407;;;
acc-tight2;0;0;0;0;;;
acc-tight4;0;0;0;0;;;
opm2-z7-s8;-8929;3817;-11242;135078;;;
p2756;3640;475;3124;528;;;
harp2;-73896921;264854;-73897012;195290;;;
disktom;-5000;4;-5000;4;;;
Chromaticindex32-8*;0;17891;4;0;;;
Neos-555343*;416693;29755;1512800;62177;;;
neos18*;1;68053;16;70885;;;
TOTAL;;7695820;;13261992;;;0,580291407
